shape,noise,elements,area,perimeter,aspect_ratio,circularity,compactness,eccentricity,orientation,feret_max,feret_min,feret_mean,malinowska,zwykly11,centralny11,znormalizowany11
circle,clean,largest,14505,540,1.0,0.6250864395105618,20.10341261633919,1.0,0,136.0,1.0,85.86027926915827,0.264823602504783,205651890,0.0,0.0
circle,salt_pepper,full,18110,12660,1.0,0.0014199102784581347,8850.115958034236,1.0587965003607827,-1.1248124204690095,358.50383540486706,1.0,104.1857833748033,25.538083028523495,271470653,-1119039.4159028141,-0.0034119957639775276
circle,salt_pepper,largest,13153,7703,1.0,0.0027855752073858674,4511.230061582909,1.0057353588621583,-0.6391471865141172,141.01418368376991,1.0,62.61361371918937,17.947091646551925,186597615,-41841.137839276365,-0.00024185431830371027
circle,gaussian,full,16288,7290,1.0,0.0038514349582866618,3262.7762770137524,1.0829276217388921,-1.140111773590251,355.7091508522096,1.0,99.57456081584306,15.11345668517016,238443030,-1015687.589943517,-0.003828464503588514
circle,gaussian,largest,13838,4840,1.0144927536231885,0.007423222310698647,1692.845786963434,1.0062146891996289,0.9166870520048106,139.00359707575916,1.0,64.08037980386652,10.606566565688583,196157856,47810.03873392106,0.0002496734963370826
circle,blur,full,14501,536,1.0,0.6342759393754955,19.812150886145783,1.0,0,136.0,1.0,85.85171880456986,0.2556276810449378,205595178,0.0,0.0
circle,blur,largest,14501,536,1.0,0.6342759393754955,19.812150886145783,1.0,0,136.0,1.0,85.85171880456986,0.2556276810449378,205595178,0.0,0.0
circle,erode,full,13965,528,1.0,0.629481482543926,19.963050483351235,1.0,0,133.5065541462291,1.0,84.218730865024,0.2604003656811591,197995770,0.0,0.0
circle,erode,largest,13965,528,1.0,0.629481482543926,19.963050483351235,1.0,0,133.5065541462291,1.0,84.218730865024,0.2604003656811591,197995770,0.0,0.0
circle,dilate,full,15057,552,1.0,0.6209693418544098,20.23670053795577,1.0,0,138.70832707519762,1.0,87.50143950194587,0.2690096379630216,213478146,0.0,0.0
circle,dilate,largest,15057,552,1.0,0.6209693418544098,20.23670053795577,1.0,0,138.70832707519762,1.0,87.50143950194587,0.2690096379630216,213478146,0.0,0.0
circle,rotate_15,full,14507,572,1.0,0.5571798697445733,22.553525884055972,1.0019011444903887,-0.5033766330791233,136.95254652615992,1.0,85.82244891752849,0.33968375533155526,222911005,-13441.972082443139,-6.387159580873137e-05
circle,rotate_15,largest,14507,572,1.0,0.5571798697445733,22.553525884055972,1.0019011444903887,-0.5033766330791233,136.95254652615992,1.0,85.82244891752849,0.33968375533155526,222911005,-13441.972082443139,-6.387159580873137e-05
circle,rotate_30,full,14499,576,1.0,0.5491651220630596,22.88268156424581,1.0009371484762328,0.08909549777972577,136.69308687713507,1.0,85.79711813500143,0.34942429986781853,242252268,1388.8753707153303,6.606739403335494e-06
circle,rotate_30,largest,14499,576,1.0,0.5491651220630596,22.88268156424581,1.0009371484762328,0.08909549777972577,136.69308687713507,1.0,85.79711813500143,0.34942429986781853,242252268,1388.8753707153303,6.606739403335494e-06
circle,rotate_45,full,14509,584,1.0,0.5345910092293853,23.50651319870425,1.0008311654852189,0.778452559248162,136.97079980784227,1.0,85.81186899863877,0.36769473392798124,262666195,6958.848369977685,3.305692192981368e-05
circle,rotate_45,largest,14509,584,1.0,0.5345910092293853,23.50651319870425,1.0008311654852189,0.778452559248162,136.97079980784227,1.0,85.81186899863877,0.36769473392798124,262666195,6958.848369977685,3.305692192981368e-05
circle,scale_08,full,9284,431,0.990909090909091,0.6280445560893329,20.00872468763464,1.0019161686228466,1.3218202528419505,109.27488274987991,1.0,68.56226387939766,0.26184140029599057,136127149,3136.015187419123,3.63837864262951e-05
circle,scale_08,largest,9284,431,0.990909090909091,0.6280445560893329,20.00872468763464,1.0019161686228466,1.3218202528419505,109.27488274987991,1.0,68.56226387939766,0.26184140029599057,136127149,3136.015187419123,3.63837864262951e-05
circle,scale_12,full,20882,649,0.9939393939393939,0.6230064771191147,20.170529642754527,1.0012062439367146,1.3977079562747803,164.13713778423212,1.0,103.15395367108286,0.2669332060976981,285289051,7097.427736806647,1.6276341619253883e-05
